#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
H=100,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
